repo,issue_id,issue_url,annotator_1_ob,annotator_1_eb,annotator_1_s2r,annotator_2_ob,annotator_2_eb,annotator_2_s2r,consensus_ob,consensus_eb,consensus_s2r,double_labeled,consensus_notes
"vscode","322371","https://github.com/microsoft/vscode/issues/322371","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321806","https://github.com/microsoft/vscode/issues/321806","Sufficient","Missing","Missing","Sufficient","Missing","Missing","Sufficient","Missing","Missing","TRUE",""
"vscode","321184","https://github.com/microsoft/vscode/issues/321184","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"scikit-learn","29369","https://github.com/scikit-learn/scikit-learn/issues/29369","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321945","https://github.com/microsoft/vscode/issues/321945","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"vscode","321504","https://github.com/microsoft/vscode/issues/321504","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321729","https://github.com/microsoft/vscode/issues/321729","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","28946","https://github.com/scikit-learn/scikit-learn/issues/28946","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321444","https://github.com/microsoft/vscode/issues/321444","Sufficient","Missing","Missing","Sufficient","Missing","Missing","Sufficient","Missing","Missing","TRUE",""
"scikit-learn","28795","https://github.com/scikit-learn/scikit-learn/issues/28795","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
